1354	1384
1570	1600
1920	1950
1978	2008
2216	2246
2237	2267
2369	2399
2494	2524
2507	2537
2525	2555
2675	2705
2684	2714
2759	2789
3324	3354
4152	4182
4347	4377
4727	4757
4754	4784
5072	5102
5190	5220
5192	5222
5195	5225
5225	5255
5399	5429
5408	5438
5477	5507
5493	5523
5528	5558
5684	5714
5768	5798
5822	5852
5885	5915
5969	5999
6627	6657
7059	7089
7401	7431
7692	7722
7698	7728
7719	7749
8034	8064
8139	8169
8187	8217
8232	8262
8247	8277
8574	8604
8751	8781
8766	8796
8770	8800
9099	9129
15483	15513
15746	15776
15966	15996
15967	15997
16214	16244
16544	16574
16619	16649
16766	16796
16784	16814
16874	16904
17062	17092
17107	17137
17279	17309
17554	17584
17794	17824
17866	17896
18016	18046
18076	18106
18489	18519
18625	18655
18966	18996
18984	19014
20769	20799
21501	21531
21953	21983
22171	22201
23338	23368
24134	24164
26701	26731
27019	27049
27078	27108
27144	27174
27725	27755
27794	27824
27895	27925
28210	28240
34597	34627
35024	35054
35094	35124
35163	35193
35476	35506
35484	35514
35506	35536
35920	35950
36601	36631
36733	36763
37011	37041
37741	37771
39311	39341
39408	39438
39799	39829
40896	40926
41700	41730
41840	41870
42335	42365
42550	42580
42930	42960
43334	43364
43539	43569
44076	44106
44579	44609
46816	46846
47239	47269
47698	47728
48451	48481
48612	48642
50193	50223
50913	50943
52233	52263
52905	52935
53679	53709
53680	53710
54158	54188
54628	54658
55072	55102
55123	55153
55196	55226
55478	55508
56848	56878
56854	56884
57085	57115
57091	57121
58366	58396
58532	58562
58878	58908
59088	59118
59276	59306
59398	59428
59427	59457
59508	59538
59928	59958
59949	59979
60072	60102
60316	60346
60477	60507
60495	60525
60939	60969
61425	61455
64153	64183
64585	64615
64586	64616
65103	65133
65581	65611
65583	65613
65701	65731
65989	66019
66864	66894
66954	66984
66996	67026
67573	67603
67577	67607
67821	67851
68073	68103
68085	68115
68120	68150
68325	68355
68510	68540
68567	68597
68694	68724
69208	69238
70925	70955
71677	71707
71899	71929
71911	71941
72064	72094
72208	72238
72412	72442
72469	72499
72634	72664
72973	73003
73288	73318
74807	74837
75934	75964
76350	76380
76352	76382
76647	76677
76848	76878
76866	76896
77288	77318
78252	78282
78447	78477
79485	79515
79680	79710
79877	79907
80384	80414
81792	81822
82140	82170
87757	87787
87880	87910
88566	88596
88890	88920
88908	88938
89178	89208
89382	89412
89586	89616
91294	91324
91615	91645
91981	92011
92011	92041
92173	92203
92620	92650
93076	93106
93535	93565
93721	93751
94090	94120
94181	94211
95552	95582
95753	95783
96864	96894
97158	97188
97655	97685
97706	97736
98759	98789
99172	99202
100125	100155
103547	103577
104375	104405
107696	107726
107837	107867
109170	109200
109395	109425
109741	109771
112870	112900
112948	112978
113341	113371
113610	113640
115057	115087
116588	116618
121015	121045
121150	121180
126100	126130
126924	126954
130321	130351
135696	135726
137683	137713
138804	138834
139659	139689
140722	140752
141359	141389
141508	141538
141615	141645
141665	141695
141705	141735
142022	142052
142247	142277
142551	142581
143549	143579
143717	143747
144073	144103
144194	144224
144284	144314
145212	145242
151396	151426
151607	151637
151928	151958
152180	152210
152268	152298
153219	153249
153402	153432
154404	154434
155509	155539
155661	155691
156134	156164
156146	156176
156377	156407
157328	157358
157832	157862
158161	158191
158502	158532
158659	158689
159055	159085
159268	159298
159313	159343
159508	159538
159524	159554
159562	159592
166953	166983
167171	167201
167282	167312
167301	167331
167486	167516
167548	167578
167586	167616
167589	167619
167666	167696
167672	167702
167673	167703
167685	167715
167719	167749
167732	167762
167869	167899
167910	167940
167921	167951
167924	167954
167934	167964
167963	167993
167966	167996
167978	168008
167993	168023
168092	168122
168149	168179
